Baseline Points,Energy content (kJ) per 100g or 100mL,Saturated fatty acids (g) per 100g or 100mL,Total sugars (g) per 100g or 100mL,Sodium (mg) per 100g or 100mL
0,0,0,0,0
1,335,1,5,90
2,670,2,9,180
3,1005,3,13.5,270
4,1340,4,18,360
5,1675,5,22.5,450
6,2010,6,27,540
7,2345,7,31,630
8,2680,8,36,720
9,3015,9,40,810
10,3350,10,45,900
11,3685,11,,990
12,,12,,1080
13,,13,,1170
14,,14,,1260
15,,15,,1350
16,,16,,1440
17,,17,,1530
18,,18,,1620
19,,19,,1710
20,,20,,1800
21,,21,,1890
22,,22,,1980
23,,23,,2070
24,,24,,2160
25,,25,,2250
26,,26,,2340
27,,27,,2430
28,,28,,2520
29,,29,,2610
30,,30,,2700
